2024-03-25 20:24:25,156 - INFO - Args parsed succesfully
2024-03-25 20:24:25,157 - INFO - Params: Namespace(emotion_transform_prob=0.0, epochs=100, exp_name='Regular', net_name='resnet50')
2024-03-25 20:24:25,739 - INFO - Model was initialized and sent to cuda:0
2024-03-25 20:24:27,543 - INFO - All data has been loaded
2024-03-25 20:24:27,545 - INFO - DataLoaders initialized
2024-03-25 20:24:27,545 - INFO - HyperParams initiliazed, starting training...
2024-03-25 20:24:27,931 - INFO - 	 In epoch number 1, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.39 secs
2024-03-25 20:24:38,329 - INFO - 	 In epoch number 1, finished iteration 100 | Running loss: 0.005 | Time from start of this epoch: 10.78 secs
2024-03-25 20:24:48,727 - INFO - 	 In epoch number 1, finished iteration 200 | Running loss: 0.009 | Time from start of this epoch: 21.18 secs
2024-03-25 20:24:51,231 - INFO - Finished epoch number 1 | Loss: 0.009975580325540719 | Epoch Time: 23.685229778289795
2024-03-25 20:24:51,336 - INFO - 	 In epoch number 2, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.10 secs
2024-03-25 20:25:01,773 - INFO - 	 In epoch number 2, finished iteration 100 | Running loss: 0.004 | Time from start of this epoch: 10.54 secs
2024-03-25 20:25:12,268 - INFO - 	 In epoch number 2, finished iteration 200 | Running loss: 0.007 | Time from start of this epoch: 21.04 secs
2024-03-25 20:25:14,752 - INFO - Finished epoch number 2 | Loss: 0.007865645707415547 | Epoch Time: 23.520722150802612
2024-03-25 20:25:14,859 - INFO - 	 In epoch number 3, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.11 secs
2024-03-25 20:25:25,423 - INFO - 	 In epoch number 3, finished iteration 100 | Running loss: 0.003 | Time from start of this epoch: 10.67 secs
2024-03-25 20:25:36,018 - INFO - 	 In epoch number 3, finished iteration 200 | Running loss: 0.006 | Time from start of this epoch: 21.27 secs
2024-03-25 20:25:38,476 - INFO - Finished epoch number 3 | Loss: 0.006882829800091915 | Epoch Time: 23.723166465759277
