2024-03-25 21:06:15,203 - INFO - Args parsed succesfully
2024-03-25 21:06:15,203 - INFO - Params: Namespace(emotion_transform_prob=0.8, epochs=100, exp_name='AugmentedEmotion', net_name='resnet50')
2024-03-25 21:06:15,755 - INFO - Model was initialized and sent to cuda:0
2024-03-25 21:06:17,722 - INFO - All data has been loaded
2024-03-25 21:06:17,723 - INFO - DataLoaders initialized
2024-03-25 21:06:17,723 - INFO - HyperParams initiliazed, starting training...
2024-03-25 21:06:19,033 - INFO - 	 In epoch number 1, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 1.31 secs
2024-03-25 21:08:03,820 - INFO - 	 In epoch number 1, finished iteration 100 | Running loss: 0.004 | Time from start of this epoch: 106.10 secs
2024-03-25 21:09:45,638 - INFO - 	 In epoch number 1, finished iteration 200 | Running loss: 0.006 | Time from start of this epoch: 207.91 secs
2024-03-25 21:10:10,073 - INFO - Finished epoch number 1 | Loss: 0.006778899572324868 | Epoch Time: 232.34869527816772
2024-03-25 21:10:11,140 - INFO - 	 In epoch number 2, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 1.07 secs
2024-03-25 21:11:53,534 - INFO - 	 In epoch number 2, finished iteration 100 | Running loss: 0.002 | Time from start of this epoch: 103.46 secs
2024-03-25 21:13:17,835 - INFO - 	 In epoch number 2, finished iteration 200 | Running loss: 0.004 | Time from start of this epoch: 187.76 secs
2024-03-25 21:13:36,718 - INFO - Finished epoch number 2 | Loss: 0.004803924887916703 | Epoch Time: 206.64500617980957
2024-03-25 21:13:37,514 - INFO - 	 In epoch number 3, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.80 secs
2024-03-25 21:15:01,061 - INFO - 	 In epoch number 3, finished iteration 100 | Running loss: 0.002 | Time from start of this epoch: 84.34 secs
2024-03-25 21:16:23,472 - INFO - 	 In epoch number 3, finished iteration 200 | Running loss: 0.004 | Time from start of this epoch: 166.75 secs
2024-03-25 21:16:42,658 - INFO - Finished epoch number 3 | Loss: 0.004231841501519782 | Epoch Time: 185.93926191329956
2024-03-25 21:16:43,453 - INFO - 	 In epoch number 4, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.79 secs
2024-03-25 21:18:05,004 - INFO - 	 In epoch number 4, finished iteration 100 | Running loss: 0.002 | Time from start of this epoch: 82.34 secs
2024-03-25 21:19:27,985 - INFO - 	 In epoch number 4, finished iteration 200 | Running loss: 0.003 | Time from start of this epoch: 165.33 secs
2024-03-25 21:19:47,075 - INFO - Finished epoch number 4 | Loss: 0.0038053175376921455 | Epoch Time: 184.4155285358429
2024-03-25 21:19:47,903 - INFO - 	 In epoch number 5, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.83 secs
2024-03-25 21:21:10,239 - INFO - 	 In epoch number 5, finished iteration 100 | Running loss: 0.002 | Time from start of this epoch: 83.16 secs
2024-03-25 21:22:32,230 - INFO - 	 In epoch number 5, finished iteration 200 | Running loss: 0.003 | Time from start of this epoch: 165.15 secs
2024-03-25 21:25:54,064 - INFO - Epoch: 5 | Loss: 0.0035 | Training accuracy: 86.154% | Validation accuracy: 61.605% | Epoch Time: 366.99 secs
